package_name,cities_to_be_visit,no_of_nights,no_of_days,price
Sightseeing Kochi Tour Package - Bamboo rafting at Periyar,"kochi ,   munnar ,   thekkady ,   kochi",3,4,14340.0
"Alluring Kochi, Kumarakom & Kovalam","kochi ,   kumarakom ,   kovalam",3,4,12999.0
"Alluring Kerala with Kochi, Munnar and Kovalam","kochi ,   munnar ,   thekkady ,   alleppey ,   kovalam",7,8,29300.0
Ultimate Kumarakom Package,"kochi ,   thekkady ,   kumarakom",5,6,21700.0
"Exciting Kerala Tour covering Munnar, Thekkady, Kovalam","kochi ,   munnar ,   thekkady ,   kumarakom ,   kovalam ,   kochi",7,8,37000.0
Marvels of Munnar & Kochi Tour Package,"munnar ,   kochi",3,4,14500.0
"Marvelous Kochi, Munnar & Thekkady","kochi ,   munnar ,   thekkady",4,5,14499.0
"Marvellous Kochi, Munnar, Thekkady and More","kochi  ,   munnar  ,   thekkady  ,   kochi",4,5,18000.0
"Sacred Kerala: Kochi, Thrissur, Guruvayur and More","thrissur ,   guruvayur ,   kochi ,   alleppey ,   trivandrum",6,7,26410.0
"Astonishing Kochi, Alleppey, Trivandrum and More","kochi  ,   alleppey  ,   varkala  ,   trivandrum",5,6,22000.0
3 Nights of Romantic Kochi Tour Package with  Mararikulam,"kochi ,   mararikulam ,   kochi",3,4,15000.0
Beautiful Kerala Tour Package with Houseboat Stay,"kochi ,   alleppey ,   munnar ,   thekkady ,   madurai ,   rameswaram ,   kanyakumari ,   kovalam ,   poovar",11,12,43500.0
Munnar Alleppey Holiday Package for 3 Days,"kochi  ,   alleppey ,   munnar",2,3,11500.0
Munnar Alleppey Kovalam Tour Package,"kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam",6,7,28000.0
Kerala Beaches & Backwater Tour Package,"kochi ,   alleppey ,   varkala ,   kollam ,   alleppey",7,8,32300.0
Backwaters Weekend - Alleppey Tour Package,"kochi ,   alleppey",2,3,8999.0
Together in Munnar & Alleppey Honeymoon Package,"kochi ,   munnar ,   alleppey",3,4,13200.0
Kumarakom Houseboat Stay Tour Package,"alleppey ,   kumarakom",2,3,9999.0
Alleppey Kumarakom Backwater Trip with Kochi Sightseeing,"kochi ,   alleppey ,   kumarakom",5,6,22100.0
7 Night 8 Days Mesmerising Kerala Trip,"kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam ,   poovar",8,9,40800.0
"Kerala Sacred Package: Thrissurr, Guruvayur, Alleppey","thrissur ,   guruvayur ,   kochi ,   alleppey ,   trivandrum",6,7,26410.0
South India in 7 Days Package with Ooty,"coimbatore ,   ooty ,   munnar ,   thekkady ,   alleppey",6,7,26000.0
"Kochi, Alleppey, Varkala Trivandrum Tour Package","kochi  ,   alleppey  ,   varkala  ,   trivandrum",5,6,22000.0
Kerala Escapade Tour Package,"munnar ,   alappuzha (alleppey)",3,4,13990.0
Delight Kerala Package,"kochi ,  munnar ,  thekkady ,   alleppey",5,6,27999.0
A Trip to Kerala - 5 Nights,"kochi ,  munnar ,  thekkady ,  alleppey ,  kochi",5,6,24700.0
"Neverending Honeymoon - Munnar, Thekkady, Alleppey & Kovalam","bangalore ,   munnar ,   thekkady ,   alappuzha ,   kovalam",6,7,26000.0
Kerala Tour Package 3 Nights 4 Days : Munnar & Alleppey,"kochi  ,   munnar ,  alleppey",3,4,14999.0
9 Nights 10 Days Kerala Itinerary - Super Saver Package,"madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey  ,   thekkady  ,   munnar",9,10,35000.0
"Magical Kerala including Kovalam, Kanyakumari and Alleppey Tour Package","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey",6,7,23294.0
Splendors of Kerala,"munnar ,   alleppey ,   kovalam ,   kumarakom",6,7,26422.0
"Fabulous Munnar, Thekkady, Kovalam","kochi ,   munnar ,  thekkady ,  kumarakom ,  alappuzha ,  kovalam",7,8,29200.0
Best 10 Nights Kerala Family Tour Package,"kochi ,   munnar ,   vagamon ,   thekkady ,   alleppey ,   kumarakom ,   kovalam",10,11,39799.0
Romantic Kerala Honeymoon Tour Package,"munnar ,   thekkady ,   alappuzha ,   kovalam ,   kanyakumari ,   trivandrum",7,8,26500.0
Splendid Kerala 8N Holiday Package,"munnar ,  thekkady ,  alappuzha ,  kovalam ,  poovar ,  kanyakumari",8,9,40000.0
5N Magical Kerala Holiday Package,"munnar ,   thekkady ,   alleppey ,   kumarakom",5,6,24399.0
Customisable Wayanad Weekend Special Package,wayanad,2,3,4700.0
Safari & Spa Wayanad Honeymoon Package,"kozhikode ,  wayanad",3,4,15555.0
Adventurous Wayanad Package with Jungle Safari,"bangalore ,   wayanad",2,3,7999.0
Beautiful Wayanad Tour Package with Soochipara Falls and Edakkal caves,"wayanad ,   calicut",3,4,13000.0
Breathtaking Wayanad Students Group Tour,"kozhikode ,   wayanad",2,3,4500.0
Luxury Wayanad Honeymoon Package: Morickap Resort,"bangalore ,   wayanad",3,4,70000.0
Explore Wayanad Family Tour Package Ex Calicut,"calicut ,   wayanad",1,2,3969.0
Intimate Wayanad Honeymoon Package,wayanad,2,3,8200.0
Breathtaking Wayanad Sightseeing Tour Package,"kozhikode ,   wayanad",2,3,6300.0
Budget Wayanad Tour for Couples,"coimbatore  ,   wayanad",2,3,9900.0
3 Days 2 Nights in Wayanad Holiday Package,"calicut ,   wayanad",2,3,6150.0
Vacation in Wayanad Tour Package,"kozhikode ,   wayanad",2,3,5750.0
Beautiful Wayanad Super Deluxe Honeymoon Package,wayanad,3,4,24500.0
"Beautiful Wayanad, Calicut, Kottakal","wayanad  ,   calicut  ,   kottakal  ,   kochi",5,6,24307.0
Beautiful Wayanad Tour Package along with Calicut and Kochi,"wayanad  ,   calicut  ,   kottakal  ,   kochi",5,6,20907.0
Luxury Wayanad Honeymoon Package: Morickap Resort,"bangalore ,   wayanad",2,3,45000.0
Breathtaking Tour of North Kerala,"kozhikode ,   wayanad ,   thalassery ,   athirapally ,   kochi",9,10,40500.0
Wayanad Honeymoon Package with Jungle Safari Ex Bangalore,"bangalore ,   wayanad",2,3,11999.0
Love in Wayanad Honeymoon Tour for Couples,"coimbatore  ,   wayanad",2,3,9900.0
Taj Wayanad Resort & Spa Kerala - Luxury Villa,"kochi ,   wayand",2,3,80000.0
Kerala Beach Package with Varkala & Kovalam,"kochi ,   varkala ,   kovalam",5,6,21300.0
Varkala Tour Package- Beaches & Backwaters of Kerala,"kochi ,   alleppey ,   varkala ,   kollam ,   alleppey",7,8,32300.0
Classic Kerala Tour for 5 Nights & 6 Days,"trivandrum ,   varkala ,   kovalam ,   kanyakumari",5,6,21000.0
"Backwaters Special - Kochi, Kumarakom, Varkala","kochi  ,   kumarakom  ,   varkala  ,   kovalam  ,   trivandrum",5,6,20191.0
Adventurous Kerala Tour Package,"kochi ,   mararikulam ,   alleppey ,   kollam ,   varkala ,   trivandrum ,   kovalam ,   poovar",8,9,32200.0
"Coastal Kerala Delights Varkala, Kochi & Alleppey","kochi ,  alleppey ,  varkala ,  kochi",4,5,16000.0
"Highlights of Kerala Varkala, Munnar, Alleppey & More","kochi ,  munnar ,  thekkady ,  alleppey ,  kovalam ,  varkala ,  trivandrum",7,8,28000.0
"Best Budget Kerala Varkala, Alleppey, Kochi & Trivandrum","kochi ,  alleppey ,  varkala ,  trivandrum",4,5,12000.0
Spectacular Varkala,varkala,2,3,9000.0
Best of Kerala in 10 Days : Honeymoon Special,"trivandrum ,   kovalam ,   varkala ,   alleppey ,   kumarakom ,   thekkady ,   munnar ,   kochi",9,10,43679.0
Kerala Beach Package for Family with Varkala & Kovalam,"kochi ,   varkala ,   kovalam",5,6,19700.0
Kerala Beaches & Backwater Honeymoon Package,"kochi ,   alleppey ,   varkala ,   kollam",7,8,30300.0
Luxury Kerala Tour for 5 Nights & 6 Days,"trivandrum ,   varkala ,   kovalam ,   kanyakumari",5,6,43550.0
"Spectacular Kumarakom, Thekkady, Kochi and More","kochi ,   munnar ,   thekkady ,   alleppey ,   kumarakom",7,8,25999.0
Honeymoon Packages in Kerala for 3 Days,"kochi ,   kumarakom",2,3,8500.0
"Irresistible Kumarakom, Kanyakumari, Kovalam Package","kumarakom ,   kovalam ,   kanyakumari",5,6,17165.0
Taj Kumarakom Resort and Spa,"kochi ,   kumarakom",4,5,87800.0
Honeymoon Package  at Gokulam Grand Resort & Spa,"kochi ,   kumarakom",2,3,24599.0
Munnar and Kumarakom Tour Package - Boat Safari on Periyar Lake,"munnar ,  thekkady ,   kumarakom",4,5,18000.0
4 Days Kumarakom Lake Resort Luxury Honeymoon Package,"kochi ,   kumarakom",3,4,106000.0
Silver Beach and Backwater Package  at Niraamaya Wellness Retreats,"kochi ,   kumarakom",4,5,123500.0
Leisure Package  at Gokulam Grand Resort & Spa,"kochi ,   kumarakom",2,3,20500.0
"Spectacular Kumarakom, Mararikulam & Kochi","kumarakom ,   mararikulam ,   kochi",5,6,23200.0
"Admirable Kumarakom, Mararikulam & Thekkady","kumarakom ,   mararikulam ,   thekkady",5,6,18000.0
Rejuvenation Package for Elderly Couple- Kumarakom Lake Resort,"kochi ,   kumarakom",3,4,120599.0
"Magic of Kumarakom, Munnar, Thekkady and More","munnar ,  thekkady ,  kumarakom ,  kochi",5,6,24300.0
"Different Kerala - Kumarakom, Munnar, Mararikulam","munnar ,    kumarakom ,    mararikulam",4,5,15782.0
"Splendid Backwaters - Kumarakom, Kochi, Varkala and More","kochi  ,   kumarakom  ,   varkala  ,   kovalam  ,   trivandrum",5,6,20191.0
"Charismatic Kumarkom, Vagamon, Kochi Tour","kochi  ,   kumarakom  ,   vagamon",5,6,22934.0
"Kerala Tour Packages 10 Days - Kochi, Munnar & Kumarakom","kochi ,   munnar ,   thekkady ,   alleppey ,   kumarakom ,   kovalam",9,10,26799.0
"Mystical Kumarakom, Alleppey, Munnar and More","munnar ,   thekkady ,   alleppey ,   kumarakom",5,6,24399.0
Fascinating Kumarakom & Mararikulam,"kumarakom ,   mararikulam",4,5,19999.0
"Beautiful Kumarakom, Munnar, Thekkady and More","thrissur ,   munnar ,   thekkady ,   kumarakom",5,6,25099.0
Senior Citizen Special Package for Kerala,"kochi ,   munnar ,   thekkady ,   kumarakom",6,7,24000.0
"Impressive Kumarakom, Thekkady, Kovalam and More","kochi ,   munnar ,  thekkady ,  kumarakom ,  alappuzha ,  kovalam",7,8,29200.0
"Awe-inspiring Kumarakom, Alleppey,  Kovalam and More","munnar ,   alleppey ,   kovalam ,   kumarakom",6,7,26422.0
"Stellar Kumarakom, Kochi, Munnar & More","kochi ,   munnar ,   thekkady ,   kumarakom",5,6,25605.0
"Magnetic Kumarakom, Munnar, Kumarakom and More","kochi ,   munnar ,   kumarakom ,   poovar",6,7,26700.0
"Enthusiastic Kumarakom, Kochi, Thekkady and More","kochi ,  thekkady ,   kumarakom ,   mararikulam",7,8,38000.0
Spicy South Special Package,"kodaikanal ,  thekkady ,  kumarakom ,  kochi",5,6,22673.0
Simply Vagamon,vagamon,2,3,7184.0
"Phenomenal Vagamon, Kochi, Kumarakom Tour","kochi  ,   kumarakom  ,   vagamon",5,6,22934.0
"Delightful Vagamon, Kochi, Alleppey Package","kochi  ,   vagamon  ,   alleppey",4,5,17104.0
"Mesmerizing Budget Vagamon, Munnar, Thekkady Tour","kochi ,   munnar  ,   thekkady  ,   vagamon",5,6,21458.0
"Splendid Vagamon, Munnar, Kottayam and More","kochi ,   munnar ,   vagamon ,   kottayam ,   alleppey",5,6,24670.0
"Unforgettable Kanyakumari, Kovalam & Madurai","kovalam ,  kanyakumari ,  rameswaram ,  madurai",4,5,15900.0
2 Nights/3 Days Standard Kovalam Tour Package,"trivandrum ,   kovalam",2,3,7000.0
"Astonishing Kovalam, Alleppey, Munnar and More","munnar ,  thekkady ,  alappuzha ,  kovalam ,  poovar ,  kanyakumari",8,9,40000.0
Luxury Kovalam Couple Tour Package,"trivandrum ,   kovalam ,   kollam",4,5,39000.0
Varkala & Kovalam Beach Tour Package,"kochi ,   varkala ,   kovalam",5,6,21300.0
"Dazzling Kovalam, Rameshwaram, Madurai and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   alleppey",6,7,23294.0
"Mystical Kanyakumari, Pondicherry, Madurai Tour Package","mahabalipuram ,   pondicherry ,   madurai ,   kanyakumari ,   kovalam",8,9,29349.0
Kanyakumari-Kovalam Tour Package,"trivandrum ,   kovalam",3,4,10499.0
"5 Days Kerala Tour Package with Poovar, Kovalam and Kanyakumari","trivandrum ,   poovar ,   kovalam",4,5,13500.0
Relaxing Getaway to Kovalam,"trivandrum ,   kovalam",2,3,7999.0
"Panoramic Kanyakumari, Rameshwaram, Madurai & Kodaikanal","madurai ,   kodaikanal ,   madurai ,   rameshwaram ,   kanyakumari ,   kovalam",7,8,26350.0
"Beach Paradise - Kovalam, Kanyakumari, Rameshwaram and More","madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   poovar",6,7,21977.0
"Royal Madurai, Rameshwaram, Kanyakumari & Kovalam","madurai ,   rameshwaram ,   kanyakumari ,   kovalam",5,6,20428.0
"Never-ending Honeymoon at Kovalam, Kanyakumari, Munnar and More","munnar ,   thekkady ,   kovalam ,   kanyakumari",6,7,26500.0
"Beach Hopping - Kovalam, Kodaikanal, Madurai and More","madurai ,   kodaikanal  ,   madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam",6,7,24000.0
Kovalam Tour Package including Munnar and Thekkady,"kochi ,   munnar ,   thekkady ,   kumarakom ,   kovalam ,   kochi",7,8,37000.0
"Idyllic Honeymoon - Kovalam, Thekkady, Alleppey & More","bangalore ,   munnar ,   thekkady ,   alappuzha ,   kovalam",6,7,26000.0
"Unforgettable Kerala Trip with Munnar, Kovalam & More","kochi  ,   munnar ,   thekkady ,   alleppey ,   kovalam",6,7,26999.0
"Sublime Kovalam, Alleppey, Kumarakom and More","munnar ,   alleppey ,   kovalam ,   kumarakom",6,7,26422.0
"Spectacular Kovalam, Munnar, Thekkady and More","kochi ,   munnar ,  thekkady ,  kumarakom ,  alappuzha ,  kovalam",7,8,29200.0
"Captivating Kovalam, Kanyakumari, Kumarakom Package","kumarakom ,   kovalam ,   kanyakumari",5,6,17165.0
"Unwinding Honeymoon - Kovalam, Alleppey, Munnar and More","munnar ,   thekkady ,   alappuzha ,   kovalam ,   kanyakumari ,   trivandrum",7,8,26500.0
Quick Getaway - Trivandrum and Kovalam Package,"trivandrum  ,   kovalam",3,4,9822.0
Captivating Idukki and Periyar,idukki,2,3,6000.0
Entrancing Idukki with Munnar,"idukki ,  munnar",4,5,11500.0
"Serene Idukki, Munnar and Thekkady with Periyar Visit","idukki ,  munnar ,  thekkady",4,5,12000.0
Gorgeous Idukki and Alleppey,"alleppey ,  idukki ,  alleppey",3,4,10000.0
"Delightful Idukki, Kochi and Munnar","kochi ,  munnar ,  idukki ,  kochi",4,5,12500.0
"Dazzle in Calicut, Wayanad & Coorg","calicut ,  wayanad ,  coorg",5,6,19499.0
"Pleasant Wayanad, Calicut & 2 places","wayanad ,  calicut ,  thrissur ,  munnar",6,7,19900.0
"Spiritual Calicut, Wayanad & Coorg","calicut ,  wayanad ,  coorg",6,7,16000.0
South India Beaches and Temples Package,"madurai  ,   rameshwaram  ,   kanyakumari  ,   kovalam  ,   poovar",6,7,21977.0
Paradise in Poovar,poovar,2,3,6599.0
Tranquil Poovar with Kovalam Stay,"trivandrum ,   poovar ,  kovalam",3,4,9200.0
"Gorgeous Poovar, Kovalam and Trivandrum","trivandrum ,   poovar ,  kovalam ,  trivandrum",3,4,10099.0
Wild Thekkady Weekend Tour Package,"kochi ,   thekkady",2,3,10250.0
Incredible Kerala Holiday Package for 4 Night 5 Days,"kochi ,  munnar ,  thekkady ,  alleppey",4,5,15000.0
Kodaikanal Munnar Alleppey Tour Package with Ooty Botanical Garden,"banglore  ,   ooty ,   kodaikanal ,   munnar ,   thekkady ,  alleppey",8,9,30000.0
Kerala Delight Group Tour Package,"kochi ,  munnar ,  thekkady ,   alleppey",5,6,27999.0
Panoramic Tour of Kerala from Kochi to Mararikulam,"kochi ,  thekkady ,   kumarakom ,   mararikulam",7,8,38000.0
"Romantic Munnar, Thekkady, Kovalam and More","munnar ,   thekkady ,   kovalam ,   kanyakumari",6,7,26500.0
"Beautiful Munnar, Athirapally, Thekkady and Kumarakom","thrissur ,   munnar ,   thekkady ,   kumarakom",5,6,25099.0
Admirable Kerala with Kumarakom Backwaters Ride,"kochi ,   munnar ,   thekkady ,   kumarakom",5,6,25605.0
"Thrills of Munnar, Thekkady, Kochi & Kumarakom","munnar ,  thekkady ,  kumarakom ,  kochi",5,6,24300.0
Splendid Kerala 7 Night Package including Alleppey,"kochi ,   munnar ,   thekkady ,   alleppey ,   kumarakom",7,8,25999.0
"Delightful Kochi, Munnar, Thekkady","kochi  ,   munnar  ,   thekkady  ,   kochi",4,5,18000.0
Luxury Honeymoon Package:Taj Bekal Resort & Spa,"kochi ,   bekal",3,4,69000.0
"Mesmerizing Thrissur,  Munnar, Thekkady and More","thrissur ,   munnar ,   thekkady ,   kumarakom",5,6,25099.0
"Holy Kerala Budget Special: Thrissur, Guruvayur, Kochi and More","thrissur ,   guruvayur ,   kochi ,   trivandrum",4,5,15899.0
"Kerala Sacred Special: Thrissur, Guruvayur, Kochi and More","thrissur ,   guruvayur ,   kochi ,   alleppey ,   trivandrum",6,7,26410.0
Honeymoon Special Munnar with Athirapally Falls,"kochi ,   athirapally ,   munnar ,   thekkady ,   kumarakom",5,6,21900.0
Kerala Honeymoon Special (Trekking in Athirapally),"kochi ,   athirapally ,   munnar ,   thekkady ,   kumarakom",5,6,14900.0
Marvellous Kerala Family Tour(with Visit to Athirapally Falls),"kochi ,   athirapally ,   munnar ,   thekkady ,   kumarakom",5,6,19900.0
Wonderful Mahe Island,"mahe island ,  mahe island",5,6,135000.0
Natural Beauty of Nilambur and Kozhikode,"nilambur ,  kozhikode",2,3,7000.0
"Serene Nilambur, Ooty and Palakkad","ooty ,  nilambur ,  palakkad",3,4,9000.0
Captivating Nilambur and Ooty with Mudumalai Visit,"ooty ,  nilambur ,  ooty",3,4,10000.0
Wonders of North Kerala Inculding Nilambur,"kannur ,  thalassery ,  kozhikode ,  nilambur ,  kalpetta ,  wayanad",6,7,16000.0
"Trivandrum, Kanyakumari Rameswaram & Madurai","trivandrum ,   kanyakumari ,   rameswaram ,   madurai",4,5,17650.0
Holy Kerala Budget Package,"thrissur ,   guruvayur ,   kochi ,   trivandrum",4,5,15899.0
"Romantic Kerala - Trivandrum, Kanyakumari, Alleppey, Munnar and More","munnar ,   thekkady ,   alappuzha ,   kovalam ,   kanyakumari ,   trivandrum",7,8,26500.0
"Splendour of Trivandrum, Kochi, Kumarakom, Varkala and More","kochi ,   kumarakom ,   varkala ,   kovalam ,   trivandrum",5,6,59947.0
"Blessed Kerala Package: Trivandrum, Thrissur, Kochi and More","thrissur ,   guruvayur ,   kochi ,   alleppey ,   trivandrum",6,7,26410.0
"Awesome Trivandrum, Kochi, Alleppey and More","kochi  ,   alleppey  ,   varkala  ,   trivandrum",5,6,22000.0
"Kerala's Backwaters - Trivandrum, Kochi, Varkala and More","kochi  ,   kumarakom  ,   varkala  ,   kovalam  ,   trivandrum",5,6,20191.0
Weekend Getaway - Trivandrum and Kovalam Package,"trivandrum  ,   kovalam",3,4,9822.0
"Charming Trivandrum, Kovalam and Kanyakumari","trivandrum ,   kovalam ,   kanyakumari",3,4,10000.0
Simply Kalpetta,kalpetta,2,3,6500.0
Serene Kalpetta and Wayanad,"wayanad ,  kalpetta",2,3,7500.0
"Gorgeous Kalpetta, Wayanad and Bandipur","wayanad ,  kalpetta ,  bandipur",3,4,10000.0
"Mesmerising Nilgiris Kalpetta, Wayanad, Bandipur & Mudumalai","kalpetta ,  wayanad ,  nagarhole ,  bandipur ,  mudumalai ,  ooty",6,7,18000.0
Luxury Kovalam & Kollam Couple Tour Package,"trivandrum ,   kovalam ,   kollam",4,5,39000.0
"Kerala Budget Holy Tour: Thrissur, Guruvayur, Kochi and Trivandrum","thrissur ,   guruvayur ,   kochi ,   trivandrum",4,5,15899.0
Bhopal Sightseeing Package with Pachmarhi,"bhopal ,   pachmarhi",3,4,10800.0
"Best Of Madhya Pradesh: Panchmarhi, Bhopal, Sanchi","bhopal ,   pachmarhi",5,6,17490.0
Madhya Pradesh Heritage Tour,"gwalior ,   khajuraho ,   orchha ,   chanderi ,   bhopal",6,7,30000.0
Madhya Pradesh Heritage with Ujjain Simhastha & Jyotirlinga Darshan,"jhansi ,   orchha ,   khajuraho ,   indore ,   ujjain ,   bhopal",7,8,20500.0
Allure of Bhopal,bhopal,3,4,6600.0
Simply Bhopal,bhopal,2,3,6500.0
Fascinating Bhopal with Bhimbetka Sightseeing,bhopal,3,4,10000.0
"Dazzling Bhopal, Ujjain and Indore","bhopal ,  ujjain ,  indore",3,4,10500.0
Omkareshwar Jyotirlinga Tour from Indore,"indore ,   ujjain ,   omkareshwar",2,3,9999.0
Ujjain Indore Sightseeing Package with Omkareshwar Darshan,"ujjain ,   indore",2,3,9489.0
"Mahakal Darshan Tour Package - Ujjain, Maheshwar, Omkareshwar & Indore","ujjain ,   omkareshwar ,   maheshwar ,   indore",3,4,12500.0
Best-Selling Pachmarhi Package - Jyotirlinga Darshan,"indore ,   maheshwar ,   ujjain ,   pachmarhi ,   jabalpur ,   khajuraho",9,10,27000.0
"Religious Ujjain Tour Package with Omkareshwar, Maheshwar and Indore","ujjain ,   omkareshwar ,   maheshwar ,   indore",4,5,15080.0
"Central India Tour: Ujjain, Indore, Maheshwar, Pachmarhi, Jabalpur, and Khajuraho","ujjain ,   indore ,   maheshwar ,   pachmarhi ,   jabalpur ,   khajuraho",8,9,25000.0
Mahakal Darshan Tour Package for 2 Nights,"ujjain ,   omkareshwar",2,3,9800.0
Wonderful Tour Package of Madhya Pradesh - Jyotirlinga Darshan,"maheshwar ,   ujjain",2,3,8780.0
Spiritual Maheshwar and Ujjain Tour Package,"maheshwar ,   ujjain",3,4,13000.0
Jyotirlinga Tour Package - Evening or Morning Aarti,"indore ,   ujjain ,   omkareshwar",2,3,9999.0
Ujjain 3 Days Itinerary:  Mahakaleshwar Temple and Omkareshwar Temple,"ujjain ,   omkareshwar ,   indore",2,3,6680.0
Ujjain 3 Nights 4 Days Itinerary,ujjain,3,4,12500.0
Golden Triangle and Khajuraho Delight - 5 Nights,"agra ,   gwalior ,   orchha ,   khajuraho",5,6,21000.0
Royal Golden Triangle Package - 6 Nights,"new delhi ,   agra ,   gwalior ,   orchha ,   khajuraho",6,7,25999.0
Colours of Rajasthan Tour Package with Uttar Pradesh,"delhi ,   jaisalmer ,   jodhpur ,   udaipur ,   jaipur ,   agra ,   khajuraho ,   varanasi",13,14,46499.0
