package_name,category_of_package,cities_to_be_visit,count_of_cities,categories_by_days,no_of_nights,no_of_days,categories_by_price,accommodation_facility,price,tokenized_cities_to_be_visit,tokenized_package_name
the land of dawn: 7 nights tour package,holiday_package,"dirang ,   tawang ,   bomdila ,   guwahati",4,long trip,7,8,premium,4-star hotel,49990.0,"['dirang', 'tawang', 'bomdila', 'guwahati']","['The', 'Land', 'of', 'Dawn', '7', 'Nights', 'Tour', 'Package']"
5 days delight to arunachal pradesh package,holiday_package,"dirang ,   tawang ,   bomdila",3,medium trip,4,5,standard,3-star hotel,17999.0,"['dirang', 'tawang', 'bomdila']","['5', 'Days', 'Delight', 'to', 'Arunachal', 'Pradesh', 'Package']"
group tour to arunachal pradesh package,family_package,"guwahati ,  dirang ,  tawang ,  bomdila ,  ziro ,   itanagar",6,long trip,7,8,standard,standard hotel,29999.0,"['guwahati', 'dirang', 'tawang', 'bomdila', 'ziro', 'itanagar']","['Group', 'Tour', 'to', 'Arunachal', 'Pradesh', 'Package']"
9 days group tour itinerary package,family_package,"bhalukpong ,   dirang ,   tawang ,   bomdila ,   tezpur ,   shillong ,   cherrapunjee",7,long trip,8,9,standard,standard hotel,25999.0,"['bhalukpong', 'dirang', 'tawang', 'bomdila', 'tezpur', 'shillong', 'cherrapunjee']","['9', 'Days', 'Group', 'Tour', 'Itinerary', 'Package']"
group adventure package to arunachal pradesh with kaziranga,family_package,"bhalukpong ,   dirang ,   tawang ,   bomdila ,   kaziranga national park",7,long trip,7,8,standard,standard hotel,22999.0,"['bhalukpong', 'dirang', 'tawang', 'bomdila', 'kaziranga', 'national', 'park']","['Group', 'Adventure', 'Package', 'to', 'Arunachal', 'Pradesh', 'with', 'Kaziranga']"
majestic group tour to arunachal pradesh with shillong and kaziranga,family_package,"dirang ,   tawang ,   bomdila ,   kaziranga national park ,   shillong ,   cherrapunjee",8,long trip,7,8,standard,standard hotel,22999.0,"['dirang', 'tawang', 'bomdila', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunjee']","['Majestic', 'Group', 'Tour', 'to', 'Arunachal', 'Pradesh', 'with', 'Shillong', 'and', 'Kaziranga']"
7n/8d tawang bomdila ziro itanagar group tour (4 persons),family_package,"dirang ,   tawang ,   bomdila ,   ziro ,   itanagar",5,long trip,7,8,standard,standard hotel,29999.0,"['dirang', 'tawang', 'bomdila', 'ziro', 'itanagar']","['7N8D', 'Tawang', 'Bomdila', 'Ziro', 'Itanagar', 'Group', 'Tour', '4', 'Persons']"
group tour to arunachal pradesh package,family_package,"guwahati ,  dirang ,  tawang ,  bomdila ,   ziro ,  itanagar",6,long trip,7,8,standard,standard hotel,29999.0,"['guwahati', 'dirang', 'tawang', 'bomdila', 'ziro', 'itanagar']","['Group', 'Tour', 'to', 'Arunachal', 'Pradesh', 'Package']"
amazing tawang for 6 days,holiday_package,"tawang ,   bomdila ,   guwahati",3,medium trip,5,6,budget,budget hotel,12000.0,"['tawang', 'bomdila', 'guwahati']","['Amazing', 'Tawang', 'for', '6', 'Days']"
best selling ziro tour with sightseeing,holiday_package,ziro,1,short trip,2,3,budget,low-cost apartment,7000.0,['ziro'],"['Best', 'Selling', 'Ziro', 'Tour', 'with', 'Sightseeing']"
ziro valley tour package - 5 nights 6 days,holiday_package,"guwahati ,   itanagar ,   ziro ,   itanagar",4,medium trip,5,6,standard,3-star hotel,22000.0,"['guwahati', 'itanagar', 'ziro', 'itanagar']","['Ziro', 'Valley', 'Tour', 'Package', '5', 'Nights', '6', 'Days']"
arunachal tour package from guwahati - ziro & itanagar,holiday_package,"itanagar ,   ziro",2,medium trip,3,4,budget,budget hotel,12428.0,"['itanagar', 'ziro']","['Arunachal', 'Tour', 'Package', 'From', 'Guwahati', 'Ziro', 'Itanagar']"
ziro music festival tour package,cultural_package,"guwahati ,   itanagar ,   ziro",3,medium trip,6,7,standard,3-star hotel,27000.0,"['guwahati', 'itanagar', 'ziro']","['Ziro', 'Music', 'Festival', 'Tour', 'Package']"
super saver arunachal including ziro,holiday_package,"itanagar ,   ziro ,    daporijo ,   along/ aalo ,   pasighat ,   dibrugarh",7,long trip,8,9,premium,4-star hotel,36000.0,"['itanagar', 'ziro', 'daporijo', 'along', 'aalo', 'pasighat', 'dibrugarh']","['Super', 'Saver', 'Arunachal', 'Including', 'Ziro']"
discover tawang tour package,holiday_package,"guwahati ,   bomdila ,   tawang ,   dirang ,   guwahati",5,medium trip,6,7,standard,3-star hotel,26640.0,"['guwahati', 'bomdila', 'tawang', 'dirang', 'guwahati']","['Discover', 'Tawang', 'Tour', 'Package']"
gems of northeast including roing,offbeat_package,"pasighat ,   dibrugarh ,   tinsukia ,   roing ,   tezu",5,medium trip,5,6,budget,budget hotel,15000.0,"['pasighat', 'dibrugarh', 'tinsukia', 'roing', 'tezu']","['Gems', 'of', 'Northeast', 'Including', 'Roing']"
charming northeast including roing,holiday_package,"guwahati ,   jorhat ,   tuli ,   dibrugarh ,   tinsukia ,   roing ,   tezu",7,medium trip,6,7,standard,3-star hotel,20000.0,"['guwahati', 'jorhat', 'tuli', 'dibrugarh', 'tinsukia', 'roing', 'tezu']","['Charming', 'Northeast', 'Including', 'Roing']"
tranquil roing and dibrugarh,holiday_package,"roing ,   dibrugarh",2,medium trip,3,4,budget,budget hotel,10500.0,"['roing', 'dibrugarh']","['Tranquil', 'Roing', 'and', 'Dibrugarh']"
"enchanting roing, dibrugarh, jorhat & more",holiday_package,"guwahati ,   jorhat ,   dibrugarh ,   tinsukia ,   roing ,   tezu",6,medium trip,6,7,standard,3-star hotel,20340.0,"['guwahati', 'jorhat', 'dibrugarh', 'tinsukia', 'roing', 'tezu']","['Enchanting', 'Roing', 'Dibrugarh', 'Jorhat', 'More']"
beautiful roing tour package with  mehao wildlife sanctuary,nature_package,roing,1,medium trip,4,5,budget,budget hotel,13240.0,['roing'],"['Beautiful', 'Roing', 'Tour', 'Package', 'with', 'Mehao', 'Wildlife', 'Sanctuary']"
blissful bhalukpong,holiday_package,"tezpur ,   bhalukpong",2,short trip,2,3,budget,low-cost apartment,10000.0,"['tezpur', 'bhalukpong']","['Blissful', 'Bhalukpong']"
beautiful bhalukpong and tezpur,holiday_package,"tezpur ,   bhalukpong ,  tezpur",3,short trip,2,3,budget,low-cost apartment,8000.0,"['tezpur', 'bhalukpong', 'tezpur']","['Beautiful', 'Bhalukpong', 'and', 'Tezpur']"
kaziranga national park safari tour package,nature_package,"guwahati ,   kaziranga national park",4,medium trip,3,4,budget,budget hotel,12500.0,"['guwahati', 'kaziranga', 'national', 'park']","['Kaziranga', 'National', 'Park', 'Safari', 'Tour', 'Package']"
7 days north east india tour packages with kaziranga & dawki river,holiday_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",7,medium trip,6,7,standard,3-star hotel,29000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunji', 'guwahati']","['7', 'Days', 'North', 'East', 'India', 'Tour', 'Packages', 'with', 'Kaziranga', 'Dawki', 'River']"
treasures of kaziranga tour package for 2 nights,holiday_package,"guwahati ,   kaziranga national park",4,short trip,2,3,budget,low-cost apartment,10900.0,"['guwahati', 'kaziranga', 'national', 'park']","['Treasures', 'of', 'Kaziranga', 'Tour', 'Package', 'for', '2', 'Nights']"
splendid guwahati & kaziranga safari family package,adventure_package,"guwahati  ,   shillong ,  kaziranga national park",5,medium trip,4,5,standard,3-star hotel,19090.0,"['guwahati', 'shillong', 'kaziranga', 'national', 'park']","['Splendid', 'Guwahati', 'Kaziranga', 'Safari', 'Family', 'Package']"
clouds and jungle safari: shillong cherrapunjee kaziranga tour,nature_package,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   kaziranga national park ,  guwahati",8,medium trip,6,7,standard,3-star hotel,26999.0,"['guwahati', 'shillong', 'cherrapunji', 'shillong', 'kaziranga', 'national', 'park', 'guwahati']","['Clouds', 'and', 'Jungle', 'Safari', 'Shillong', 'Cherrapunjee', 'Kaziranga', 'Tour']"
shillong guwahati with kaziranga tour package,holiday_package,"guwahati ,   shillong ,   kaziranga ,   guwahati",4,medium trip,5,6,standard,3-star hotel,21550.0,"['guwahati', 'shillong', 'kaziranga', 'guwahati']","['Shillong', 'Guwahati', 'with', 'Kaziranga', 'Tour', 'Package']"
"manas, nameri and kaziranga national park tour",nature_package,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park",10,medium trip,6,7,standard,3-star hotel,28250.0,"['guwahati', 'manas', 'national', 'park', 'nameri', 'national', 'park', 'kaziranga', 'national', 'park']","['Manas', 'Nameri', 'and', 'Kaziranga', 'National', 'Park', 'Tour']"
kaziranga national park family tour packages,nature_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",7,medium trip,6,7,standard,3-star hotel,29000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunji', 'guwahati']","['Kaziranga', 'National', 'Park', 'Family', 'Tour', 'Packages']"
national parks of assam tour package,nature_package,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park",10,medium trip,6,7,premium,5-star hotel,30900.0,"['guwahati', 'manas', 'national', 'park', 'nameri', 'national', 'park', 'kaziranga', 'national', 'park']","['National', 'Parks', 'of', 'Assam', 'Tour', 'Package']"
luxury kaziranga national park safari tour package,luxury_package,"guwahati ,   kaziranga national park",4,medium trip,3,4,standard,3-star hotel,16500.0,"['guwahati', 'kaziranga', 'national', 'park']","['Luxury', 'Kaziranga', 'National', 'Park', 'Safari', 'Tour', 'Package']"
guwahati shillong kaziranga tour package : wet and wild assam and meghalaya,holiday_package,"guwahati ,   kaziranga national park ,   shillong ,   guwahati",6,medium trip,6,7,standard,3-star hotel,28500.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'guwahati']","['Guwahati', 'Shillong', 'Kaziranga', 'Tour', 'Package', 'Wet', 'and', 'Wild', 'Assam', 'and', 'Meghalaya']"
jewels of north east india tour packages with kaziranga & dirang,holiday_package,"shillong ,   kaziranga national park ,   dirang ,   tawang ,   bomdila ,   guwahati",8,long trip,9,10,luxury,5-star resort,55240.0,"['shillong', 'kaziranga', 'national', 'park', 'dirang', 'tawang', 'bomdila', 'guwahati']","['Jewels', 'of', 'North', 'East', 'India', 'Tour', 'Packages', 'with', 'Kaziranga', 'Dirang']"
manas national park tour package,nature_package,"guwahati ,   manas national park ,   kaziranga national park",7,medium trip,4,5,standard,3-star hotel,22700.0,"['guwahati', 'manas', 'national', 'park', 'kaziranga', 'national', 'park']","['Manas', 'National', 'Park', 'Tour', 'Package']"
wildlife tours of assam- shillong tour package,nature_package,"shillong ,   kaziranga ,   nameri ,   guwahati",4,long trip,7,8,premium,4-star hotel,31000.0,"['shillong', 'kaziranga', 'nameri', 'guwahati']","['Wildlife', 'Tours', 'of', 'Assam', 'Shillong', 'Tour', 'Package']"
explore assam and meghalaya: 8-day adventure from guwahati to kaziranga,adventure_package,"guwahati ,   shillong ,   kaziranga national park ,   guwahati",6,long trip,7,8,premium,4-star hotel,35500.0,"['guwahati', 'shillong', 'kaziranga', 'national', 'park', 'guwahati']","['Explore', 'Assam', 'and', 'Meghalaya', '8Day', 'Adventure', 'from', 'Guwahati', 'to', 'Kaziranga']"
guwahati and kaziranga national park tour package,nature_package,"guwahati ,   kaziranga national park",4,medium trip,3,4,budget,budget hotel,12000.0,"['guwahati', 'kaziranga', 'national', 'park']","['Guwahati', 'and', 'Kaziranga', 'National', 'Park', 'Tour', 'Package']"
dibrugarh tinsukia exploration package with jorhat & kaziranga,holiday_package,"dibrugarh ,   tinsukia ,   kaziranga",3,long trip,9,10,premium,4-star hotel,48650.0,"['dibrugarh', 'tinsukia', 'kaziranga']","['Dibrugarh', 'Tinsukia', 'Exploration', 'Package', 'with', 'Jorhat', 'Kaziranga']"
wildlife tours of assam with jorhat tour package,nature_package,"dibrugarh ,   tinsukia ,   jorhat ,   kaziranga ,   nameri ,   manas",6,long trip,9,10,premium,4-star hotel,48900.0,"['dibrugarh', 'tinsukia', 'jorhat', 'kaziranga', 'nameri', 'manas']","['Wildlife', 'Tours', 'of', 'Assam', 'with', 'Jorhat', 'Tour', 'Package']"
5 days group tour package to meghalaya with kaziranga,family_package,"shillong ,   cherrapunjee ,   kaziranga national park",5,medium trip,4,5,budget,budget hotel,12499.0,"['shillong', 'cherrapunjee', 'kaziranga', 'national', 'park']","['5', 'Days', 'Group', 'Tour', 'Package', 'to', 'Meghalaya', 'with', 'Kaziranga']"
stunning meghalaya: shillong & kaziranga honeymoon tour package,honeymoon_package,"guwahati  ,   shillong ,  kaziranga national park",5,medium trip,5,6,standard,3-star hotel,18990.0,"['guwahati', 'shillong', 'kaziranga', 'national', 'park']","['Stunning', 'Meghalaya', 'Shillong', 'Kaziranga', 'Honeymoon', 'Tour', 'Package']"
couple special assam and meghalaya honeymoon package,honeymoon_package,"guwahati ,  kaziranga national park ,   shillong ,   guwahati",6,medium trip,6,7,standard,3-star hotel,24500.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'guwahati']","['Couple', 'Special', 'Assam', 'and', 'Meghalaya', 'Honeymoon', 'Package']"
breathtaking meghalaya honeymoon package with elephant safari in kaziranga,honeymoon_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunjee ,  guwahati",7,medium trip,6,7,standard,3-star hotel,26000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunjee', 'guwahati']","['Breathtaking', 'Meghalaya', 'Honeymoon', 'Package', 'with', 'Elephant', 'Safari', 'in', 'Kaziranga']"
exotic meghalaya honeymoon package with cruise and jungle safari,honeymoon_package,"guwahati  ,   shillong ,  cherrapunjee ,  kaziranga national park ,  guwahati",7,medium trip,6,7,premium,5-star hotel,30999.0,"['guwahati', 'shillong', 'cherrapunjee', 'kaziranga', 'national', 'park', 'guwahati']","['Exotic', 'Meghalaya', 'Honeymoon', 'Package', 'with', 'Cruise', 'and', 'Jungle', 'Safari']"
decadent meghalaya honeymoon package,honeymoon_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunjee ,  guwahati",7,medium trip,6,7,standard,3-star hotel,24000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunjee', 'guwahati']","['Decadent', 'Meghalaya', 'Honeymoon', 'Package']"
mesmerising meghalaya honeymoon special with kaziranga,honeymoon_package,"guwahati ,   kaziranga national park ,   shillong ,   guwahati",6,medium trip,6,7,standard,3-star hotel,24500.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'guwahati']","['Mesmerising', 'Meghalaya', 'Honeymoon', 'Special', 'with', 'Kaziranga']"
assam and meghalaya tour package,holiday_package,"shillong ,   cherrapunjee ,   kaziranga national park",5,medium trip,6,7,standard,3-star hotel,30000.0,"['shillong', 'cherrapunjee', 'kaziranga', 'national', 'park']","['Assam', 'and', 'Meghalaya', 'Tour', 'Package']"
kaziranga meghalaya family tour package,family_package,"guwahati  ,   shillong ,  cherrapunji ,   shillong ,   kaziranga national park ,  guwahati",8,medium trip,6,7,standard,3-star hotel,26999.0,"['guwahati', 'shillong', 'cherrapunji', 'shillong', 'kaziranga', 'national', 'park', 'guwahati']","['Kaziranga', 'Meghalaya', 'Family', 'Tour', 'Package']"
guwahati shillong tour package - 4 nights 5 days,holiday_package,"guwahati ,  shillong ,   guwahati",3,medium trip,4,5,standard,3-star hotel,20250.0,"['guwahati', 'shillong', 'guwahati']","['Guwahati', 'Shillong', 'Tour', 'Package', '4', 'Nights', '5', 'Days']"
guwahati meghalaya tour packages with mawsmai cave exploration,holiday_package,"guwahati ,   shillong ,   cherrapunji ,   mawsynram ,   mawlynnong ,   guwahati",6,medium trip,5,6,standard,3-star hotel,22750.0,"['guwahati', 'shillong', 'cherrapunji', 'mawsynram', 'mawlynnong', 'guwahati']","['Guwahati', 'Meghalaya', 'Tour', 'Packages', 'with', 'Mawsmai', 'Cave', 'Exploration']"
"discover tawang tour package with guwahati, bomdila & more",holiday_package,"guwahati ,   bomdila ,   tawang ,   dirang ,   guwahati",5,medium trip,6,7,standard,3-star hotel,26640.0,"['guwahati', 'bomdila', 'tawang', 'dirang', 'guwahati']","['Discover', 'Tawang', 'Tour', 'Package', 'with', 'Guwahati', 'Bomdila', 'More']"
romantic north east india honeymoon package -  seven sisters falls,honeymoon_package,"guwahati ,   kaziranga national park ,    shillong ,   cherrapunji",6,medium trip,6,7,standard,3-star hotel,27999.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunji']","['Romantic', 'North', 'East', 'India', 'Honeymoon', 'Package', 'Seven', 'Sisters', 'Falls']"
"visit meghalaya: shillong, cherrapunji, guwahati tour",holiday_package,"guwahati ,   shillong ,   guwahati",3,medium trip,3,4,budget,budget hotel,12999.0,"['guwahati', 'shillong', 'guwahati']","['Visit', 'Meghalaya', 'Shillong', 'Cherrapunji', 'Guwahati', 'Tour']"
shillong tour plan for 5 days,holiday_package,"guwahati ,   shillong ,   cherrapunji ,   krang suri ,   mawlynnong",6,medium trip,4,5,budget,budget hotel,14500.0,"['guwahati', 'shillong', 'cherrapunji', 'krang', 'suri', 'mawlynnong']","['Shillong', 'Tour', 'Plan', 'for', '5', 'Days']"
guwahati shillong cherrapunji tour package - trek to double decker living root bridge,holiday_package,"guwahati ,   shillong ,   cherrapunji ,   guwahati",4,medium trip,6,7,standard,3-star hotel,24750.0,"['guwahati', 'shillong', 'cherrapunji', 'guwahati']","['Guwahati', 'Shillong', 'Cherrapunji', 'Tour', 'Package', 'Trek', 'to', 'Double', 'Decker', 'Living', 'Root', 'Bridge']"
meghalaya arunchal assam tour packages - discover the northeast,holiday_package,"guwahati ,   manas national park ,   shillong ,   cherrapunji ,    mawlynnong ,   tawang",8,long trip,9,10,premium,4-star hotel,42250.0,"['guwahati', 'manas', 'national', 'park', 'shillong', 'cherrapunji', 'mawlynnong', 'tawang']","['Meghalaya', 'Arunchal', 'Assam', 'Tour', 'Packages', 'Discover', 'the', 'Northeast']"
guwahati shillong meghalaya tour packages,holiday_package,"shillong ,   cherrapunji ,   guwahati",3,medium trip,6,7,standard,3-star hotel,25600.0,"['shillong', 'cherrapunji', 'guwahati']","['Guwahati', 'Shillong', 'Meghalaya', 'Tour', 'Packages']"
national parks of assam tour package ex guwahati,nature_package,"guwahati ,   manas national park ,   nameri national park ,   kaziranga national park",10,medium trip,6,7,premium,5-star hotel,30900.0,"['guwahati', 'manas', 'national', 'park', 'nameri', 'national', 'park', 'kaziranga', 'national', 'park']","['National', 'Parks', 'of', 'Assam', 'Tour', 'Package', 'Ex', 'Guwahati']"
assam meghalaya tour package - 4 night 5 days,holiday_package,"guwahati  ,   shillong ,   cherrapunji ,   mawlynnong",4,medium trip,4,5,standard,3-star hotel,17650.0,"['guwahati', 'shillong', 'cherrapunji', 'mawlynnong']","['Assam', 'Meghalaya', 'Tour', 'Package', '4', 'Night', '5', 'Days']"
"offbeat arunachal tour package: guwahati, tawang, dirang & more",offbeat_package,"guwahati ,   kazirang ,   nameri ,   dirang ,   tawang ,   bomdila",6,long trip,9,10,luxury,5-star resort,51500.0,"['guwahati', 'kazirang', 'nameri', 'dirang', 'tawang', 'bomdila']","['Offbeat', 'Arunachal', 'Tour', 'Package', 'Guwahati', 'Tawang', 'Dirang', 'More']"
meghalaya 3 nights 4 days tour package,holiday_package,"guwahati ,   shillong",2,medium trip,3,4,budget,budget hotel,14250.0,"['guwahati', 'shillong']","['Meghalaya', '3', 'Nights', '4', 'Days', 'Tour', 'Package']"
assam shillong meghalaya tour packages,holiday_package,"guwahati ,   manas ,   shillong ,   cherrapunji ,   guwahati",5,medium trip,5,6,standard,3-star hotel,21900.0,"['guwahati', 'manas', 'shillong', 'cherrapunji', 'guwahati']","['Assam', 'Shillong', 'Meghalaya', 'Tour', 'Packages']"
assamd tour packages - 8 nights 9 days,holiday_package,"guwahati ,   cherrapunji ,   mawlynnong ,   dawki ,   jowai ,   shillong ,   mawsynram ,   guwahati",8,long trip,8,9,premium,4-star hotel,42120.0,"['guwahati', 'cherrapunji', 'mawlynnong', 'dawki', 'jowai', 'shillong', 'mawsynram', 'guwahati']","['Assamd', 'Tour', 'Packages', '8', 'Nights', '9', 'Days']"
3 nights manas national park tour package,nature_package,"guwahati ,   manas national park ,   guwahati",5,medium trip,3,4,budget,budget hotel,13700.0,"['guwahati', 'manas', 'national', 'park', 'guwahati']","['3', 'Nights', 'Manas', 'National', 'Park', 'Tour', 'Package']"
short break to shillong tour package,holiday_package,"guwahati ,   shillong ,   guwahati",3,medium trip,3,4,budget,budget hotel,14000.0,"['guwahati', 'shillong', 'guwahati']","['Short', 'Break', 'to', 'Shillong', 'Tour', 'Package']"
explore meghalaya tour package starting from guwahati,holiday_package,"guwahati  ,   shillong ,   cherrapunji ,   shillong ,   mawlynnong ,   shillong",6,long trip,7,8,premium,4-star hotel,33250.0,"['guwahati', 'shillong', 'cherrapunji', 'shillong', 'mawlynnong', 'shillong']","['Explore', 'Meghalaya', 'Tour', 'Package', 'Starting', 'from', 'Guwahati']"
8-day meghalaya adventure package -  explore laitlum canyon,adventure_package,"shillong ,   mawphlang ,   dawki ,   shillong ,   guwahati",5,long trip,7,8,premium,4-star hotel,32250.0,"['shillong', 'mawphlang', 'dawki', 'shillong', 'guwahati']","['8Day', 'Meghalaya', 'Adventure', 'Package', 'Explore', 'Laitlum', 'Canyon']"
shillong tour packages for family with guwahati,family_package,"guwahati ,  shillong ,   guwahati",3,medium trip,4,5,standard,3-star hotel,21250.0,"['guwahati', 'shillong', 'guwahati']","['Shillong', 'Tour', 'Packages', 'for', 'Family', 'with', 'Guwahati']"
guwahati family tour packages,family_package,"guwahati  ,   kaziranga national park ,  shillong ,  cherrapunji ,  guwahati",7,medium trip,6,7,standard,3-star hotel,29000.0,"['guwahati', 'kaziranga', 'national', 'park', 'shillong', 'cherrapunji', 'guwahati']","['Guwahati', 'Family', 'Tour', 'Packages']"
delightful meghalaya honeymoon package with mawsmai cave exploration,honeymoon_package,"guwahati ,   shillong ,   cherrapunjee ,   mawsynram ,   mawlynnong ,   guwahati",6,medium trip,5,6,standard,3-star hotel,21750.0,"['guwahati', 'shillong', 'cherrapunjee', 'mawsynram', 'mawlynnong', 'guwahati']","['Delightful', 'Meghalaya', 'Honeymoon', 'Package', 'with', 'Mawsmai', 'Cave', 'Exploration']"
meghalaya adventure honeymoon package with shnongpdeng,adventure_package,"shillong ,   cherrapunjee ,   shnongpdeng ,   shillong ,   guwahati",5,medium trip,6,7,standard,3-star hotel,28500.0,"['shillong', 'cherrapunjee', 'shnongpdeng', 'shillong', 'guwahati']","['Meghalaya', 'Adventure', 'Honeymoon', 'Package', 'with', 'Shnongpdeng']"
best meghalaya honeymoon package - candlelight dinner,honeymoon_package,"guwahati ,   cherrapunjee ,   mawlynnong ,   dawki ,   jowai ,   shillong ,   mawsynram ,   guwahati",8,long trip,8,9,premium,4-star hotel,38120.0,"['guwahati', 'cherrapunjee', 'mawlynnong', 'dawki', 'jowai', 'shillong', 'mawsynram', 'guwahati']","['Best', 'Meghalaya', 'Honeymoon', 'Package', 'Candlelight', 'Dinner']"
7 days ultimate meghalaya tour package,holiday_package,"shillong ,  cherrapunjee ,  dawki ,  guwahati",4,medium trip,6,7,standard,3-star hotel,24000.0,"['shillong', 'cherrapunjee', 'dawki', 'guwahati']","['7', 'Days', 'Ultimate', 'Meghalaya', 'Tour', 'Package']"
honeymoon in paradise: 4 nights 5 days meghalaya package,honeymoon_package,"shillong ,   cherrapunjee ,   dawki ,   guwahati",4,medium trip,4,5,standard,3-star hotel,19999.0,"['shillong', 'cherrapunjee', 'dawki', 'guwahati']","['Honeymoon', 'in', 'Paradise', '4', 'Nights', '5', 'Days', 'Meghalaya', 'Package']"
super saver group tour package to meghalaya and assam,family_package,"guwahati ,   shillong ,   cherrapunjee",3,medium trip,5,6,budget,budget hotel,14499.0,"['guwahati', 'shillong', 'cherrapunjee']","['Super', 'Saver', 'Group', 'Tour', 'Package', 'to', 'Meghalaya', 'and', 'Assam']"
simply jorhat,holiday_package,jorhat,1,short trip,2,3,budget,low-cost apartment,6000.0,['jorhat'],"['Simply', 'Jorhat']"
charming jorhat and majuli,holiday_package,"jorhat ,  majuli",2,short trip,2,3,budget,low-cost apartment,7500.0,"['jorhat', 'majuli']","['Charming', 'Jorhat', 'and', 'Majuli']"
"delightful northeast jorhat, majuli, dibrugarh & more",holiday_package,"jorhat ,  majuli ,  dibrugarh ,  tezpur ,  guwahati",5,medium trip,5,6,budget,budget hotel,13500.0,"['jorhat', 'majuli', 'dibrugarh', 'tezpur', 'guwahati']","['Delightful', 'Northeast', 'Jorhat', 'Majuli', 'Dibrugarh', 'More']"
"gems of assam jorhat, guwahati & more",offbeat_package,"tezpur ,  majuli ,  jorhat ,  kaziranga ,  guwahati",5,medium trip,4,5,budget,budget hotel,12000.0,"['tezpur', 'majuli', 'jorhat', 'kaziranga', 'guwahati']","['Gems', 'of', 'Assam', 'Jorhat', 'Guwahati', 'More']"
beautiful jorhat and guwahati with kaziranga stay,holiday_package,"jorhat ,  kaziranga ,  guwahati",3,medium trip,3,4,budget,budget hotel,10000.0,"['jorhat', 'kaziranga', 'guwahati']","['Beautiful', 'Jorhat', 'and', 'Guwahati', 'with', 'Kaziranga', 'Stay']"
alluring dibru saikhowa national park and tinsukia,nature_package,"dibrugarh ,  tinsukia",2,short trip,2,3,budget,low-cost apartment,7800.0,"['dibrugarh', 'tinsukia']","['Alluring', 'Dibru', 'Saikhowa', 'National', 'Park', 'and', 'Tinsukia']"
jungle calling featuring dibru saikhowa national park,nature_package,"dibrugarh ,  tinsukia ,  digboi ,  tinsukia ,  kaziranga ,  guwahati",6,medium trip,6,7,standard,3-star hotel,16500.0,"['dibrugarh', 'tinsukia', 'digboi', 'tinsukia', 'kaziranga', 'guwahati']","['Jungle', 'Calling', 'Featuring', 'Dibru', 'Saikhowa', 'National', 'Park']"
assam wildlife special including dibru saikhowa national park,nature_package,"manas ,  pobitora ,  kaziranga ,  dibru saikhowa ,  guwahati",6,long trip,9,10,standard,standard hotel,27000.0,"['manas', 'pobitora', 'kaziranga', 'dibru', 'saikhowa', 'guwahati']","['Assam', 'Wildlife', 'Special', 'Including', 'Dibru', 'Saikhowa', 'National', 'Park']"
awesome assam including dibru saikhowa national park,nature_package,"jorhat ,  majuli ,  sivasagar ,  dibrugarh ,  dibru saikhowa",6,medium trip,5,6,standard,3-star hotel,16000.0,"['jorhat', 'majuli', 'sivasagar', 'dibrugarh', 'dibru', 'saikhowa']","['Awesome', 'Assam', 'Including', 'Dibru', 'Saikhowa', 'National', 'Park']"
simply silchar,holiday_package,silchar,1,short trip,2,3,budget,low-cost apartment,7500.0,['silchar'],"['Simply', 'Silchar']"
"splendid silchar, jowai and dawki",holiday_package,"silchar ,  jowai ,  dawki",3,medium trip,3,4,budget,budget hotel,11200.0,"['silchar', 'jowai', 'dawki']","['Splendid', 'Silchar', 'Jowai', 'and', 'Dawki']"
"spectaculat silchar, jowai and shillong",holiday_package,"shillong ,  silchar ,  jowai",3,medium trip,3,4,budget,budget hotel,12000.0,"['shillong', 'silchar', 'jowai']","['Spectaculat', 'Silchar', 'Jowai', 'and', 'Shillong']"
serene silchar and imphal,holiday_package,"silchar ,  imphal",2,short trip,2,3,budget,low-cost apartment,7000.0,"['silchar', 'imphal']","['Serene', 'Silchar', 'and', 'Imphal']"
"superb silchar, imphal, kohima and dimapur",holiday_package,"silchar ,  imphal ,  kohima ,  dimapur",4,medium trip,4,5,budget,budget hotel,14000.0,"['silchar', 'imphal', 'kohima', 'dimapur']","['Superb', 'Silchar', 'Imphal', 'Kohima', 'and', 'Dimapur']"
